"filename", "language", "JavaScript", "SCSS", "XML", "Markdown", "JSON", "JSON with Comments", "HTML", "Properties", "YAML", "comment", "blank", "total"
"e:\webdevelopment\dvki\client\frontend\src\layout\NavigationScroll.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 27
"e:\webdevelopment\dvki\client\frontend\src\menu-items\dashboard.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 34
"e:\webdevelopment\dvki\client\frontend\src\menu-items\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"e:\webdevelopment\dvki\client\frontend\src\menu-items\other.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 34
"e:\webdevelopment\dvki\client\frontend\src\menu-items\pages.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 43
"e:\webdevelopment\dvki\client\frontend\src\menu-items\utilities.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 69
"e:\webdevelopment\dvki\client\frontend\src\routes\AuthenticationRoutes.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 29
"e:\webdevelopment\dvki\client\frontend\src\routes\MainRoutes.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 98
"e:\webdevelopment\dvki\client\frontend\src\routes\ProtectedRoute.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\webdevelopment\dvki\client\frontend\src\routes\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 12
"e:\webdevelopment\dvki\client\frontend\src\serviceWorker.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 31, 13, 133
"e:\webdevelopment\dvki\client\frontend\src\store\actions.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"e:\webdevelopment\dvki\client\frontend\src\store\constant.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"e:\webdevelopment\dvki\client\frontend\src\store\customizationReducer.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 47
"e:\webdevelopment\dvki\client\frontend\src\store\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"e:\webdevelopment\dvki\client\frontend\src\store\reducer.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 13
"e:\webdevelopment\dvki\client\frontend\src\themes\compStyleOverride.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 188
"e:\webdevelopment\dvki\client\frontend\src\themes\index.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 56
"e:\webdevelopment\dvki\client\frontend\src\themes\palette.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 74
"e:\webdevelopment\dvki\client\frontend\src\themes\typography.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 134
"e:\webdevelopment\dvki\client\frontend\src\ui-component\Loadable.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 16
"e:\webdevelopment\dvki\client\frontend\src\ui-component\Loader.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 22
"e:\webdevelopment\dvki\client\frontend\src\ui-component\Logo.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 37
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\AuthFooter.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 18
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\CardSecondaryAction.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 59
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\MainCard.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 87
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\EarningCard.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 33
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\ImagePlaceholder.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 9
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\PopularCard.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 156
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\ProductPlaceholder.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 45
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\TotalGrowthBarChart.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 40
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\TotalIncomeCard.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 24
"e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\SubCard.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 67
"e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\AnimateButton.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 98
"e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Avatar.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 73
"e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Breadcrumbs.js", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 188
"e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Transitions.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 108
"e:\webdevelopment\dvki\client\frontend\src\utils\password-strength.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 35
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\ApplCard.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 185
